id,english,sparql
2074,what is the dbo:largestCity of the dbo:Country which is the dbo:bodyDiscovered of dbr:Amit_Saigal ?,select distinct ?uri where { dbr:Amit_Saigal dbo:bodyDiscovered ?x . ?x dbo:largestCity ?uri . ?x rdf:type dbo:Country }
2075,"what is the dbo:founder of the city which is the dbp:locationTown of dbr:First_Church_of_Christ,_Scientist_(Pittsburgh) ?","select distinct ?uri where { dbr:First_Church_of_Christ,_Scientist_(Pittsburgh) dbp:locationTown ?x . ?x dbo:founder ?uri . }"
2076,who are the dbo:BasketballPlayer whose dbp:team is dbr:Los_Angeles_Lakers ?,select distinct ?uri where { ?uri dbp:team dbr:Los_Angeles_Lakers . ?uri rdf:type dbo:BasketballPlayer }
2077,what are the dbo:Film whose dbp:producer is dbr:Michael_Deeley ?,select distinct ?uri where { ?uri dbp:producer dbr:Michael_Deeley . ?uri rdf:type dbo:Film }
2078,what is the dbp:headquarters of dbr:Regional_Transit_Authority_of_Southeast_Michigan ?,select distinct ?uri where { dbr:Regional_Transit_Authority_of_Southeast_Michigan dbp:headquarters ?uri }
2079,what is the dbp:awards of the person who is the dbo:parent of dbr:Daniel_Bergman ?,select distinct ?uri where { dbr:Daniel_Bergman dbo:parent ?x . ?x dbp:awards ?uri . }
2080,what is the dbo:debutTeam of the dbr:Butch_Metzger and dbr:Dan_Otero ?,select distinct ?uri where { dbr:Butch_Metzger dbo:debutTeam ?uri . dbr:Dan_Otero dbo:debutTeam ?uri . }
2081,what is the dbp:location of the dbr:Eka_Lagnachi_Teesri_Goshta and dbp:placeOfBirth of the dbr:Vijay_Chavan ?,select distinct ?uri where { dbr:Eka_Lagnachi_Teesri_Goshta dbp:location ?uri . dbr:Vijay_Chavan dbp:placeOfBirth ?uri . }
2082,what are the organisations whose dbo:location 's dbo:language is dbr:Spanish_language ?,select distinct ?uri where { ?x dbo:language dbr:Spanish_language . ?uri dbo:location ?x . }
2083,what is the dbo:stateOfOrigin of dbr:Hafthór_Júlíus_Björnsson ?,select distinct ?uri where { dbr:Hafthór_Júlíus_Björnsson dbo:stateOfOrigin ?uri }
2084,who are the dbo:Writer whose dbp:nationality is dbr:Statelessness ?,select distinct ?uri where { ?uri dbp:nationality dbr:Statelessness . ?uri rdf:type dbo:Writer }
2085,what are the movies whose dbp:music 's dbo:deathCause is dbr:Cardiovascular_disease ?,select distinct ?uri where { ?x dbo:deathCause dbr:Cardiovascular_disease . ?uri dbp:music ?x . }
2086,who are the dbo:MusicalArtist whose dbo:instrument is dbr:Remo ?,select distinct ?uri where { ?uri dbo:instrument dbr:Remo . ?uri rdf:type dbo:MusicalArtist }
2087,list the dbo:MusicalArtist whose dbo:associatedMusicalArtist 's dbo:spouse is dbr:Jessi_Colter ?,select distinct ?uri where { ?x dbo:spouse dbr:Jessi_Colter . ?uri dbo:associatedMusicalArtist ?x . ?uri rdf:type dbo:MusicalArtist }
2088,what is the dbp:place of the dbr:Geography_Club_(play) and dbr:The_Kentucky_Cycle ?,select distinct ?uri where { dbr:Geography_Club_(play) dbp:place ?uri . dbr:The_Kentucky_Cycle dbp:place ?uri . }
2089,is dbr:Lousana the dbo:routeEnd of dbr:Alberta_Highway_42 ?,ask where { dbr:Alberta_Highway_42 dbo:routeEnd dbr:Lousana . }
2090,give me the count of dbo:athletics of the universities whose dbo:athletics is dbr:Basketball ?,select distinct count ( ?uri ) where { ?x dbo:athletics dbr:Basketball . ?x dbp:athletics ?uri }
2091,what is the scientist whose dbp:doctoralAdvisor is dbr:John_Robert_Woodyard and dbp:prizes is dbr:Lovelace_Medal ?,select distinct ?uri where { ?uri dbp:doctoralAdvisor dbr:John_Robert_Woodyard . ?uri dbp:prizes dbr:Lovelace_Medal . }
2092,whose dbp:foundation are dbr:United_States and dbr:New_Mexico ?,select distinct ?uri where { ?uri dbp:foundation dbr:United_States . ?uri dbp:foundation dbr:New_Mexico . }
2093,what are the dbo:TelevisionShow whose dbo:format is dbr:5.1_surround_sound ?,select distinct ?uri where { ?uri dbo:format dbr:5.1_surround_sound . ?uri rdf:type dbo:TelevisionShow }
2094,what is the dbo:producer of the single which is the dbo:subsequentWork of dbr:He's_a_Liar ?,select distinct ?uri where { dbr:He's_a_Liar dbo:subsequentWork ?x . ?x dbo:producer ?uri . }
2095,what is the dbo:influencedBy of the dbo:Comedian who is the dbp:starring of dbr:Good_Hair ?,select distinct ?uri where { dbr:Good_Hair dbp:starring ?x . ?x dbo:influencedBy ?uri . ?x rdf:type dbo:Comedian }
2096,what is the dbp:destinations of the dbo:Airline whose dbo:targetAirport is dbr:Birmingham_Airport ?,select distinct ?uri where { ?x dbo:targetAirport dbr:Birmingham_Airport . ?x dbp:destinations ?uri . ?x rdf:type dbo:Airline }
2097,what is the dbo:TelevisionShow whose dbp:creator is dbr:Simon_Fuller and dbo:presenter is dbr:Ryan_Seacrest ?,select distinct ?uri where { ?uri dbp:creator dbr:Simon_Fuller . ?uri dbo:presenter dbr:Ryan_Seacrest . ?uri rdf:type dbo:TelevisionShow }
2098,is dbr:The_Bronx the dbp:counties of dbr:Westchester_Avenue ?,ask where { dbr:Westchester_Avenue dbp:counties dbr:The_Bronx }
2099,"how many dbo:recordedIn are there , of the singles whose dbo:producer is dbr:Garbage_(band) ?",select distinct count ( ?uri ) where { ?x dbo:producer dbr:Garbage_(band) . ?x dbo:recordedIn ?uri . }
2100,what is the total number of dbp:related of the automobiles whose dbp:engine is dbr:V8_engine ?,select distinct count ( ?uri ) where { ?x dbp:engine dbr:V8_engine . ?x dbp:related ?uri . }
2101,what is the dbo:product of the dbo:Company whose dbo:location is dbr:United_States ?,select distinct ?uri where { ?x dbo:location dbr:United_States . ?x dbo:product ?uri . ?x rdf:type dbo:Company }
2102,give me a count of dbo:FictionalCharacter whose dbo:series is dbr:The_Office_(U.S._TV_series) ?,select distinct count ( ?uri ) where { ?uri dbo:series dbr:The_Office_(U.S._TV_series) . ?uri rdf:type dbo:FictionalCharacter }
2103,who is the dbo:Person whose dbo:opponent are dbr:Ike_Clanton and dbr:Tom_McLaury ?,select distinct ?uri where { ?uri dbo:opponent dbr:Ike_Clanton . ?uri dbo:opponent dbr:Tom_McLaury . ?uri rdf:type dbo:Person }
2104,who is the dbo:firstAscentPerson of dbr:Mount_Hoffmann ?,select distinct ?uri where { dbr:Mount_Hoffmann dbo:firstAscentPerson ?uri }
2105,what is the dbo:TelevisionShow whose dbo:executiveProducer is dbr:Steven_Moffat and dbp:genre is dbr:Science_fiction ?,select distinct ?uri where { ?uri dbo:executiveProducer dbr:Steven_Moffat . ?uri dbp:genre dbr:Science_fiction . ?uri rdf:type dbo:TelevisionShow }
2106,what are the basketball players whose dbp:team 's dbp:arena is dbr:United_Center ?,select distinct ?uri where { ?x dbp:arena dbr:United_Center . ?uri dbp:team ?x . }
2107,"how many dbo:affiliation are there , of the elections whose dbp:leader is dbr:Y._S._Rajasekhara_Reddy ?",select distinct count ( ?uri ) where { ?x dbp:leader dbr:Y._S._Rajasekhara_Reddy . ?x dbo:affiliation ?uri . }
2108,what is the dbo:deathPlace of dbr:Wallace_Dollase ?,select distinct ?uri where { dbr:Wallace_Dollase dbo:deathPlace ?uri . }
2109,what is the dbo:state of dbr:Red_Willow_Creek ?,select distinct ?uri where { dbr:Red_Willow_Creek dbo:state ?uri }
2110,what is the dbp:founded of the trade union which is the dbo:affiliation of dbr:Amalgamated_Clothing_Workers_of_America ?,select distinct ?uri where { dbr:Amalgamated_Clothing_Workers_of_America dbo:affiliation ?x . ?x dbp:founded ?uri . }
2111,what is the dbo:operatedBy of the dbo:RailwayLine whose dbo:routeStart is dbr:Minneapolis ?,select distinct ?uri where { ?x dbo:routeStart dbr:Minneapolis . ?x dbo:operatedBy ?uri . ?x rdf:type dbo:RailwayLine }
2112,what is the dbo:country of the dbo:SpeedwayLeague which is the dbo:league of dbr:Ikaros_Smederna ?,select distinct ?uri where { dbr:Ikaros_Smederna dbo:league ?x . ?x dbo:country ?uri . ?x rdf:type dbo:SpeedwayLeague }
2113,how many dbo:nonFictionSubject are there in dbr:Thud! ?,select distinct count ( ?uri ) where { dbr:Thud! dbo:nonFictionSubject ?uri . }
2114,what is the dbo:routeStart of the dbr:Moscow-Kazan_high-speed_railway and dbo:homeStadium of the dbr:2011–12_FC_Spartak_Moscow_season ?,select distinct ?uri where { dbr:Moscow-Kazan_high-speed_railway dbo:routeStart ?uri . dbr:2011–12_FC_Spartak_Moscow_season dbo:homeStadium uri }
2115,what is the dbo:leaderName of the dbr:Manendragarh and dbp:party of the dbr:Rishang_Keishing ?,select distinct ?uri where { dbr:Manendragarh dbo:leaderName ?uri . dbr:Rishang_Keishing dbp:party uri }
2116,how many owls are there whose dbp:youthclubs 's dbp:league is dbr:Argentine_Primera_División ?,select distinct count ( ?uri ) where { ?x dbp:league dbr:Argentine_Primera_División . ?uri dbp:youthclubs ?x . }
2117,what is the dbo:hometown of the musical artist who is the dbo:musicalArtist of dbr:Jack_Your_Body ?,select distinct ?uri where { dbr:Jack_Your_Body dbo:musicalArtist ?x . ?x dbo:hometown ?uri . }
2118,what is the dbp:branch of the dbo:governor who is the dbo:governor of dbr:James_L._McConaughy ?,select distinct ?uri where { dbr:James_L._McConaughy dbo:governor ?x . ?x dbp:branch ?uri . }
2119,what is the dbo:mouthCountry of the place whose dbo:sourcePlace is dbr:Lebršnik ?,select distinct ?uri where { ?x dbo:sourcePlace dbr:Lebršnik . ?x dbo:mouthCountry ?uri . }
2120,what is the dbo:birthPlace of the dbr:Robert_Rodi and dbp:placeOfDeath of the dbr:Andy_Wyant ?,select distinct ?uri where { dbr:Robert_Rodi dbo:birthPlace ?uri . dbr:Andy_Wyant dbp:placeOfDeath uri }
2121,"what is the dbo:Person whose dbp:constituency is dbr:Duboce_Triangle,_San_Francisco and dbo:militaryUnit is dbr:USS_Kittiwake_(ASR-13) ?","select distinct ?uri where { ?uri dbp:constituency dbr:Duboce_Triangle,_San_Francisco . ?uri dbo:militaryUnit dbr:USS_Kittiwake_(ASR-13) . ?uri rdf:type dbo:Person }"
2122,what is the dbo:occupation of the musical artists whose dbo:associatedMusicalArtist is dbr:The_Shirelles ?,select distinct ?uri where { ?x dbo:associatedMusicalArtist dbr:The_Shirelles . ?x dbo:occupation ?uri . }
2123,what is the dbo:AmericanFootballPlayer whose dbo:formerTeam is dbr:Indianapolis_Colts and dbp:currentteam is dbr:Michigan_Wolverines ?,select distinct ?uri where { ?uri dbo:formerTeam dbr:Indianapolis_Colts . ?uri dbp:currentteam dbr:Michigan_Wolverines . ?uri rdf:type dbo:AmericanFootballPlayer }
2124,what are the dbo:Mountain whose dbo:mountainRange is dbr:Sierra_Nevada_(U.S.) and dbo:locatedInArea is dbr:California ?,select distinct ?uri where { ?uri dbo:mountainRange dbr:Sierra_Nevada_(U.S.) . ?uri dbo:locatedInArea dbr:California . ?uri rdf:type dbo:Mountain }
2125,"list the dbo:TelevisionShow whose dbp:distributor 's dbp:locationCity is dbr:Burbank,_California ?","select distinct ?uri where { ?x dbp:locationCity dbr:Burbank,_California . ?uri dbp:distributor ?x . ?uri rdf:type dbo:TelevisionShow }"
2126,what is the dbo:religion of the dbr:Miao_people and dbo:country of the dbr:Guru_Purnima ?,select distinct ?uri where { dbr:Miao_people dbo:religion ?uri . dbr:Guru_Purnima dbo:country uri }
2127,what is the dbo:almaMater of the dbr:Harlan_Mathews and dbr:Richard_Merrill_Atkinson ?,select distinct ?uri where { dbr:Harlan_Mathews dbo:almaMater ?uri . dbr:Richard_Merrill_Atkinson dbo:almaMater ?uri . }
2128,what is the dbo:type of the dbo:Building whose dbo:architect is dbr:Pyusawhti ?,select distinct ?uri where { ?x dbo:architect dbr:Pyusawhti . ?x dbo:type ?uri . ?x rdf:type dbo:Building }
2129,what is the dbo:owningCompany of the dbo:Company whose dbp:parent is dbr:Sony_Financial ?,select distinct ?uri where { ?x dbp:parent dbr:Sony_Financial . ?x dbo:owningCompany ?uri . ?x rdf:type dbo:Company }
2130,what dbo:Gymnast 's dbp:headcoach is dbr:Amanda_Reddin ?,select distinct ?uri where { ?uri dbp:headcoach dbr:Amanda_Reddin . ?uri rdf:type dbo:Gymnast }
2131,what is the dbo:award of the dbo:Writer whose dbp:movement is dbr:Katharevousa ?,select distinct ?uri where { ?x dbp:movement dbr:Katharevousa . ?x dbo:award ?uri . ?x rdf:type dbo:Writer }
2132,what are the dbo:Mammal whose dbp:phylum is dbr:Chordate ?,select distinct ?uri where { ?uri dbp:phylum dbr:Chordate . ?uri rdf:type dbo:Mammal }
2133,"how many dbo:developer of the video games whose dbo:series is dbr:Oddworld , are there ?",select distinct count ( ?uri ) where { ?x dbo:series dbr:Oddworld . ?x dbo:developer ?uri . }
2134,what is the dbo:ground of dbr:2015_Fort_Lauderdale_Strikers_season ?,select distinct ?uri where { dbr:2015_Fort_Lauderdale_Strikers_season dbo:ground ?uri }
2135,what are the dbo:VideoGame whose dbo:computingPlatform is dbr:Virtual_Console and dbp:composer is dbr:Hirokazu_Tanaka ?,select distinct ?uri where { ?uri dbo:computingPlatform dbr:Virtual_Console . ?uri dbp:composer dbr:Hirokazu_Tanaka . ?uri rdf:type dbo:VideoGame }
2136,what is the dbo:restingPlace of the engineer who is the dbo:architect of dbr:Plaza_on_DeWitt ?,select distinct ?uri where { dbr:Plaza_on_DeWitt dbo:architect ?x . ?x dbo:restingPlace ?uri . }
2137,what is the dbo:location of the dbr:Cooper_Mountain_Vineyards and dbr:Mount_Bachelor_ski_area ?,select distinct ?uri where { dbr:Cooper_Mountain_Vineyards dbo:location ?uri . dbr:Mount_Bachelor_ski_area dbo:location ?uri . }
2138,count the dbo:tenant in dbr:Mercedes-Benz_Superdome ?,select distinct count ( ?uri ) where { dbr:Mercedes-Benz_Superdome dbo:tenant ?uri . }
2139,what is the dbp:affiliation of the hospital which is the dbp:workInstitutions of dbr:Alfred_Blalock ?,select distinct ?uri where { dbr:Alfred_Blalock dbp:workInstitutions ?x . ?x dbp:affiliation ?uri . }
2140,"how many dbo:stylisticOrigin are there , of the music genres whose dbp:instruments is dbr:Bass_guitar ?",select distinct count ( ?uri ) where { ?x dbp:instruments dbr:Bass_guitar . ?x dbo:stylisticOrigin ?uri . ?uri rdf:type dbo:MusicGenre }
2141,how many dbo:Band are there whose dbp:origin is dbr:Birmingham ?,select distinct count ( ?uri ) where { ?uri dbp:origin dbr:Birmingham . ?uri rdf:type dbo:Band }
2142,what is the dbp:mouthLocation of the dbo:Stream whose dbo:sourcePlace is dbr:Richmond_Park ?,select distinct ?uri where { ?x dbo:sourcePlace dbr:Richmond_Park . ?x dbp:mouthLocation ?uri . ?x rdf:type dbo:Stream }
2143,"how many dbo:deathCause are there , of the people whose dbp:citizenship is dbr:United_States ?",select distinct count ( ?uri ) where { ?x dbp:citizenship dbr:United_States . ?x dbo:deathCause ?uri . }
2144,what is the dbo:BasketballTeam whose dbp:coach is dbr:Louis_Dunbar ?,select distinct ?uri where { ?uri dbp:coach dbr:Louis_Dunbar . ?uri rdf:type dbo:BasketballTeam }
2145,is dbr:Noko the dbo:formerBandMember of dbr:Luxuria_(band) ?,ask where { dbr:Luxuria_(band) dbo:formerBandMember dbr:Noko }
2146,what office holder 's dbp:governor is dbr:Charles_Willing_Byrd ?,select distinct ?uri where { ?uri dbp:governor dbr:Charles_Willing_Byrd }
2147,is dbr:Jeju_International_Airport the dbo:targetAirport of dbr:Asiana_Airlines ?,ask where { dbr:Asiana_Airlines dbo:targetAirport dbr:Jeju_International_Airport }
2148,what is the total number of dbo:formerTeam of the owls whose dbp:league is dbr:Czech_Extraliga ?,select distinct count ( ?uri ) where { ?x dbp:league dbr:Czech_Extraliga . ?x dbo:formerTeam ?uri . }
2149,what is the dbo:TelevisionShow whose dbo:subsequentWork is dbr:Frasier and dbo:openingTheme is dbr:Gary_Portnoy ?,select distinct ?uri where { ?uri dbo:subsequentWork dbr:Frasier . ?uri dbo:openingTheme dbr:Gary_Portnoy . ?uri rdf:type dbo:TelevisionShow }
2150,count the number of other dbp:athletics of the universities whose dbp:athletics is dbr:Taekwondo ?,select distinct count ( ?uri ) where { ?x dbp:athletics dbr:Taekwondo . ?x dbp:athletics ?uri }
2151,what is the dbo:location of the dbr:Baja_California_Peninsula and dbp:city of the dbr:WEPG ?,select distinct ?uri where { dbr:Baja_California_Peninsula dbo:location ?uri . dbr:WEPG dbp:city ?uri . ?uri rdf:type dbo:Continent }
2152,what is the dbo:locationCountry of the dbr:Rashid_Behbudov_State_Song_Theatre and dbr:Baku_Puppet_Theatre ?,select distinct ?uri where { dbr:Rashid_Behbudov_State_Song_Theatre dbo:locationCountry ?uri . dbr:Baku_Puppet_Theatre dbo:locationCountry ?uri . }
2153,what is the dbo:service of the dbr:Laemmle_Theatres and dbp:awards of the dbr:José_Rivera_(playwright) ?,select distinct ?uri where { dbr:Laemmle_Theatres dbo:service ?uri . dbr:José_Rivera_(playwright) dbp:awards uri }
2154,who are the soccer players whose dbp:currentclub is dbr:Stoke_City_F.C. ?,select distinct ?uri where { ?uri dbp:currentclub dbr:Stoke_City_F.C. }
2155,what is the dbp:cities of the dbo:Sea whose dbo:inflow is dbr:Atlantic_Ocean ?,select distinct ?uri where { ?x dbo:inflow dbr:Atlantic_Ocean . ?x dbp:cities ?uri . ?x rdf:type dbo:Sea }
2156,what is the dbo:restingPlace of the dbo:Artist whose dbo:training is dbr:Art_Students_League_of_New_York ?,select distinct ?uri where { ?x dbo:training dbr:Art_Students_League_of_New_York . ?x dbo:restingPlace ?uri . ?x rdf:type dbo:Artist }
2157,what is the dbo:municipality of dbr:Liberty_Bell ?,select distinct ?uri where { dbr:Liberty_Bell dbo:municipality ?uri }
2158,who is the dbp:owner of dbr:Bloomberg_L.P. ?,select distinct ?uri where { dbr:Bloomberg_L.P. dbp:owner ?uri }
2159,what is the dbp:deathPlace of the dbo:Skier who is the dbo:bronzeMedalist of dbr:Alpine_skiing_at_the_1964_Winter_Olympics_–_Men's_slalom ?,select distinct ?uri where { dbr:Alpine_skiing_at_the_1964_Winter_Olympics_–_Men's_slalom dbo:bronzeMedalist ?x . ?x dbp:deathPlace ?uri . ?x rdf:type dbo:Skier }
2160,what is the dbp:debutteam of the dbo:AmericanFootballPlayer whose dbo:highschool is dbr:North_Fort_Myers_High_School ?,select distinct ?uri where { ?x dbo:highschool dbr:North_Fort_Myers_High_School . ?x dbp:debutteam ?uri . ?x rdf:type dbo:AmericanFootballPlayer }
2161,what are the dbp:race of dbr:Mouse_Morris ?,select distinct ?uri where { dbr:Mouse_Morris dbp:race ?uri }
2162,who are the dbp:writer of dbr:South_Park:_The_Stick_of_Truth ?,select distinct ?uri where { dbr:South_Park:_The_Stick_of_Truth dbp:writer ?uri }
2163,what is the dbo:leaderName of the dbr:Baraily and dbo:otherParty of the dbr:Chandra_Shekhar ?,select distinct ?uri where { dbr:Baraily dbo:leaderName ?uri . dbr:Chandra_Shekhar dbo:otherParty uri }
2164,whose dbo:commander are dbr:Colin_Powell and dbr:Jaber_Al-Ahmad_Al-Sabah ?,select distinct ?uri where { ?uri dbo:commander dbr:Colin_Powell . ?uri dbo:commander dbr:Jaber_Al-Ahmad_Al-Sabah . }
2165,what is the dbo:FictionalCharacter whose dbo:series is dbr:Terminator_(franchise) and dbo:portrayer is dbr:Terminator_2:_Judgment_Day ?,select distinct ?uri where { ?uri dbo:series dbr:Terminator_(franchise) . ?uri dbo:portrayer dbr:Terminator_2:_Judgment_Day . ?uri rdf:type dbo:FictionalCharacter }
2166,who is the dbo:trainer of dbr:Shinya_Aoki ?,select distinct ?uri where { dbr:Shinya_Aoki dbo:trainer ?uri }
2167,what is the dbp:purpose of the organisations which are non-governmental organization ?,select distinct ?uri where { ?x dbp:type dbr:Non-governmental_organization . ?x dbp:purpose ?uri . }
2168,what is the dbo:mouthCountry of the place whose dbo:border is dbr:Bjelašnica ?,select distinct ?uri where { ?x dbo:border dbr:Bjelašnica . ?x dbo:mouthCountry ?uri . }
2169,"what dbo:School 's dbp:city is dbr:Reading,_Berkshire ?","select distinct ?uri where { ?uri dbp:city dbr:Reading,_Berkshire . ?uri rdf:type dbo:School }"
2170,who is the dbo:OfficeHolder whose dbo:predecessor is dbr:Lucius_Cornelius_Lentulus_Crus ?,select distinct ?uri where { ?uri dbo:predecessor dbr:Lucius_Cornelius_Lentulus_Crus . ?uri rdf:type dbo:OfficeHolder }
2171,give me a count of dbo:University whose dbp:athletics is dbr:NCAA_Division_I_Football_Bowl_Subdivision ?,select distinct count ( ?uri ) where { ?uri dbp:athletics dbr:NCAA_Division_I_Football_Bowl_Subdivision . ?uri rdf:type dbo:University }
2172,what is the dbo:region of the dbo:Senator whose dbp:successor is dbr:James_B._Belford ?,select distinct ?uri where { ?x dbp:successor dbr:James_B._Belford . ?x dbo:region ?uri . ?x rdf:type dbo:Senator }
2173,what is the dbo:stateOfOrigin of dbr:Thomas_Pfyl ?,select distinct ?uri where { dbr:Thomas_Pfyl dbo:stateOfOrigin ?uri }
2174,what is the dbo:nationality of the member of parliament who is the dbp:successor of dbr:Nii_Okaija_Adamafio ?,select distinct ?uri where { dbr:Nii_Okaija_Adamafio dbp:successor ?x . ?x dbo:nationality ?uri . }
2175,what is the dbo:publisher of dbr:Stone_Canoe ?,select distinct ?uri where { dbr:Stone_Canoe dbo:publisher ?uri }
2176,is dbr:Devon the dbo:county of dbr:Plymouth_High_School_for_Girls ?,ask where { dbr:Plymouth_High_School_for_Girls dbo:county dbr:Devon }
2177,give me a count of dbo:Company whose dbo:locationCity is dbr:Texas ?,select distinct count ( ?uri ) where { ?uri dbo:locationCity dbr:Texas . ?uri rdf:type dbo:Company }
2178,what is the dbo:Company whose dbo:product is dbr:Pixar_Image_Computer and dbo:keyPerson is dbr:Edwin_Catmull ?,select distinct ?uri where { ?uri dbo:product dbr:Pixar_Image_Computer . ?uri dbo:keyPerson dbr:Edwin_Catmull . ?uri rdf:type dbo:Company }
2179,who is the dbp:coverArtist of dbr:Doctor_Mirabilis_(novel) ?,select distinct ?uri where { dbr:Doctor_Mirabilis_(novel) dbp:coverArtist ?uri }
2180,who is the person whose dbp:nationality is dbr:Shawnee ?,select distinct ?uri where { ?uri dbp:nationality dbr:Shawnee }
2181,"what is the dbo:OfficeHolder whose dbp:predecessor is dbr:Henry_E._Catto,_Jr. and dbp:successor is dbr:Adrian_A._Basora ?","select distinct ?uri where { ?uri dbp:predecessor dbr:Henry_E._Catto,_Jr. . ?uri dbp:successor dbr:Adrian_A._Basora . ?uri rdf:type dbo:OfficeHolder }"
2182,what is the dbo:primeMinister of the dbr:William_Deane and dbp:primeminister of the dbr:Mark_Latham ?,select distinct ?uri where { dbr:William_Deane dbo:primeMinister ?uri . dbr:Mark_Latham dbp:primeminister uri }
2183,what is the dbo:parentCompany of the dbo:Company which is the dbp:parent of dbr:Sony_Bank ?,select distinct ?uri where { dbr:Sony_Bank dbp:parent ?x . ?x dbo:parentCompany ?uri . ?x rdf:type dbo:Company }
2184,count the dbp:athletics of the universities whose dbp:state is dbr:Metro_Manila ?,select distinct count ( ?uri ) where { ?x dbp:state dbr:Metro_Manila . ?x dbp:athletics ?uri . }
2185,what is the dbo:TelevisionShow whose dbo:openingTheme 's dbo:musicalBand is dbr:Miley_Cyrus ?,select distinct ?uri where { ?x dbo:musicalBand dbr:Miley_Cyrus . ?uri dbo:openingTheme ?x . ?uri rdf:type dbo:TelevisionShow }
2186,what is the dbo:formerPartner of the figure skaters whose dbp:coach is dbr:Dalilah_Sappenfield ?,select distinct ?uri where { ?x dbp:coach dbr:Dalilah_Sappenfield . ?x dbo:formerPartner ?uri . }
2187,who is the dbp:poleDriver of dbr:1992_Canadian_Grand_Prix ?,select distinct ?uri where { dbr:1992_Canadian_Grand_Prix dbp:poleDriver ?uri }
2188,what is the dbo:Location whose dbp:neighboringMunicipalities is dbr:Lancy and dbo:neighboringMunicipality is dbr:Pregny-Chambésy ?,select distinct ?uri where { ?uri dbp:neighboringMunicipalities dbr:Lancy . ?uri dbo:neighboringMunicipality dbr:Pregny-Chambésy . ?uri rdf:type dbo:Location }
2189,what is the dbp:hometown of the dbr:Pavel_Moroz and dbo:deathPlace of the dbr:Yakov_Estrin ?,select distinct ?uri where { dbr:Pavel_Moroz dbp:hometown ?uri . dbr:Yakov_Estrin dbo:deathPlace uri }
2190,what is the dbo:Country whose dbp:leaderName is dbr:Pandikar_Amin_Mulia ?,select distinct ?uri where { ?uri dbp:leaderName dbr:Pandikar_Amin_Mulia . ?uri rdf:type dbo:Country }
2191,"what is the dbo:maintainedBy of the dbr:Cheasty_Boulevard_South and dbo:countySeat of the dbr:King_County,_Washington ?","select distinct ?uri where { dbr:Cheasty_Boulevard_South dbo:maintainedBy ?uri . dbr:King_County,_Washington dbo:countySeat uri }"
2192,count the number of dbo:birthPlace of the jockey (horse racer)s whose dbp:race is dbr:Excelsior_Stakes ?,select distinct count ( ?uri ) where { ?x dbp:race dbr:Excelsior_Stakes . ?x dbo:birthPlace ?uri . }
2193,what is the dbo:largestCity of the administrative region which is the dbo:destination of dbr:TranStar_Airlines ?,select distinct ?uri where { dbr:TranStar_Airlines dbo:destination ?x . ?x dbo:largestCity ?uri . }
2194,what is the writer whose dbo:notableWork 's dbp:writers is dbr:Neil_Gaiman ?,select distinct ?uri where { ?x dbp:writers dbr:Neil_Gaiman . ?uri dbo:notableWork ?x . }
2195,what is the dbp:president of the dbo:EducationalInstitution whose dbo:location is dbr:Paud ?,select distinct ?uri where { ?x dbo:location dbr:Paud . ?x dbp:president ?uri . ?x rdf:type dbo:EducationalInstitution }
2196,what is the dbp:developer of the dbo:Software which is the dbo:computingPlatform of dbr:King's_Quest_VI ?,select distinct ?uri where { dbr:King's_Quest_VI dbo:computingPlatform ?x . ?x dbp:developer ?uri . ?x rdf:type dbo:Software }
2197,whose dbp:youthclubs are dbr:FC_Barcelona and dbr:Newell's_Old_Boys ?,select distinct ?uri where { ?uri dbp:youthclubs dbr:FC_Barcelona . ?uri dbp:youthclubs dbr:Newell's_Old_Boys . }
2198,list the dbp:nationalOrigin of the dbo:Aircraft whose dbp:designer is dbr:Alexander_Lippisch ?,select distinct ?uri where { ?x dbp:designer dbr:Alexander_Lippisch . ?x dbp:nationalOrigin ?uri . ?x rdf:type dbo:Aircraft }
2199,what is the dbp:occupation of the senator whose dbo:relation is dbr:James_Hartness ?,select distinct ?uri where { ?x dbo:relation dbr:James_Hartness . ?x dbp:occupation ?uri . }
2200,who is the dbo:appointer of dbr:William_Cushing ?,select distinct ?uri where { dbr:William_Cushing dbo:appointer ?uri }
2201,who is the dbo:formerPartner of dbr:Chris_Knierim ?,select distinct ?uri where { dbr:Chris_Knierim dbo:formerPartner ?uri }
2202,"what is the dbo:OfficeHolder whose dbp:constituency are dbr:Duboce_Triangle,_San_Francisco and dbr:Noe_Valley,_San_Francisco ?","select distinct ?uri where { ?uri dbp:constituency dbr:Duboce_Triangle,_San_Francisco . ?uri dbp:constituency dbr:Noe_Valley,_San_Francisco . ?uri rdf:type dbo:OfficeHolder }"
2203,what is the dbp:education of the dbo:BaseballPlayer whose dbo:knownFor is dbr:Olin_Corporation ?,select distinct ?uri where { ?x dbo:knownFor dbr:Olin_Corporation . ?x dbp:education ?uri . ?x rdf:type dbo:BaseballPlayer }
2204,what is the total number of dbo:genre of the software whose dbp:license is dbr:GNU_General_Public_License ?,select distinct count ( ?uri ) where { ?x dbp:license dbr:GNU_General_Public_License . ?x dbo:genre ?uri . }
2205,what is the dbo:religion of the fictional character who is the dbo:relative of dbr:Carmela_Soprano ?,select distinct ?uri where { dbr:Carmela_Soprano dbo:relative ?x . ?x dbo:religion ?uri . }
